last_name, first_name,year,on_base_percent,barrel_batted_rate,whiff_percent,f_strike_percent,sprint_speed,
Trumbo, Mark,2015,.310,9.8,30.9,60.7,27.1,
Peralta, David,2015,.371,7.7,24.6,62.9,27.6,
Escobar, Alcides,2015,.289,0.9,18.2,68.4,27.4,
Prado, Martin,2015,.338,2.3,11.6,63.3,26.8,
Duda, Lucas,2015,.352,11.6,24.9,51.3,25.2,
Longoria, Evan,2015,.328,8.5,23.7,59.1,27.4,
Davis, Chris,2015,.361,17.6,35.7,62.1,26.9,
Zobrist, Ben,2015,.359,3.6,12.6,54.8,27.2,
Fowler, Dexter,2015,.345,4.5,22.0,59.0,28.5,
Headley, Chase,2015,.324,5.1,21.3,57.5,25.6,
Lind, Adam,2015,.360,7.2,21.2,54.5,24.0,
Cabrera, Asdrubal,2015,.314,5.4,23.4,65.0,26.6,
Tulowitzki, Troy,2015,.337,5.3,23.0,57.9,26.1,
Blackmon, Charlie,2015,.345,3.7,15.9,57.8,27.9,
Frazier, Todd,2015,.308,9.0,24.9,60.3,25.7,
Markakis, Nick,2015,.370,0.8,11.6,56.0,25.6,
Butler, Billy,2015,.323,7.5,18.8,62.2,23.6,
Cain, Lorenzo,2015,.361,5.5,19.1,59.9,28.9,
McCutchen, Andrew,2015,.401,9.3,26.1,55.6,28.5,
Jackson, Austin,2015,.309,3.8,22.2,61.7,28.2,
Upton, Justin,2015,.335,10.3,31.9,57.9,28.0,
Maybin, Cameron,2015,.326,2.7,20.5,60.7,29.1,
Posey, Buster,2015,.379,6.1,13.3,59.2,25.4,
Bruce, Jay,2015,.294,8.1,25.2,58.9,25.9,
Votto, Joey,2015,.459,10.7,24.0,54.5,25.3,
Coghlan, Chris,2015,.340,5.5,19.8,56.1,26.5,
Gardner, Brett,2015,.338,4.0,21.5,52.3,28.8,
Braun, Ryan,2015,.356,10.7,22.9,64.3,27.3,
Moss, Brandon,2015,.304,11.7,29.6,58.0,26.9,
Kemp, Matt,2015,.312,8.3,26.3,58.3,25.9,
Plouffe, Trevor,2015,.307,7.9,21.0,64.6,26.3,
Andrus, Elvis,2015,.306,1.5,15.0,62.3,27.7,
Cervelli, Francisco,2015,.367,4.1,19.0,60.8,26.2,
Cabrera, Melky,2015,.313,2.4,13.4,61.3,25.8,
Sandoval, Pablo,2015,.291,4.8,19.2,65.0,24.7,
Ramos, Wilson,2015,.258,6.3,24.3,65.9,24.0,
Santana, Carlos,2015,.357,7.2,19.4,48.2,25.5,
Parra, Gerardo,2015,.326,3.0,18.5,66.4,26.6,
Gonzalez, Carlos,2015,.324,11.0,30.8,57.4,26.4,
Belt, Brandon,2015,.356,10.0,28.3,60.1,26.7,
Brantley, Michael,2015,.379,3.9,8.7,58.6,26.0,
Escobar, Yunel,2015,.374,3.0,17.8,63.9,25.6,
Morrison, Logan,2015,.301,6.9,18.5,57.9,26.6,
Cespedes, Yoenis,2015,.328,11.3,23.7,58.4,28.4,
Ramirez, Alexei,2015,.285,1.0,15.7,67.0,26.6,
Solarte, Yangervis,2015,.319,2.1,13.3,58.1,25.4,
Martinez, J.D.,2015,.344,17.6,30.8,64.1,27.8,
Reddick, Josh,2015,.330,5.0,16.1,56.2,27.8,
Murphy, Daniel,2015,.322,4.9,9.0,57.2,25.7,
Goldschmidt, Paul,2015,.435,12.5,25.2,54.2,27.4,
Altuve, Jose,2015,.351,3.1,11.4,65.5,28.4,
Segura, Jean,2015,.279,1.3,17.5,66.4,28.7,
Castro, Starlin,2015,.296,4.3,19.7,56.9,27.5,
Marte, Starling,2015,.335,6.9,26.3,69.7,29.6,
Donaldson, Josh,2015,.370,12.2,25.3,57.0,26.7,
Heyward, Jason,2015,.357,2.8,16.2,52.6,27.4,
LeMahieu, DJ,2015,.356,1.9,16.7,58.7,27.3,
Moreland, Mitch,2015,.330,10.4,25.7,57.3,25.0,
Moustakas, Mike,2015,.345,6.4,16.7,58.1,25.8,
Norris, Derek,2015,.305,2.3,21.5,59.1,27.9,
Revere, Ben,2015,.339,0.0,10.7,56.6,28.4,
Rizzo, Anthony,2015,.387,8.0,19.2,54.8,26.1,
Vogt, Stephen,2015,.341,5.6,18.5,55.2,26.1,
Galvis, Freddy,2015,.299,2.4,19.2,64.2,27.1,
Perez, Salvador,2015,.280,5.3,18.0,60.6,25.6,
Forsythe, Logan,2015,.359,3.4,18.6,61.6,28.5,
Flores, Wilmer,2015,.294,1.9,14.3,61.0,25.8,
Garcia, Avisail,2015,.309,4.8,31.1,65.6,29.1,
Inciarte, Ender,2015,.337,1.1,11.6,62.0,28.0,
Burns, Billy,2015,.333,0.5,16.4,67.9,29.1,
Crawford, Brandon,2015,.321,8.7,28.1,62.4,26.8,
Giavotella, Johnny,2015,.313,1.0,14.9,61.4,27.9,
Gose, Anthony,2015,.320,2.3,27.3,62.6,28.3,
Hosmer, Eric,2015,.363,7.1,20.6,57.0,27.1,
Kipnis, Jason,2015,.370,2.8,17.0,56.2,27.3,
Lawrie, Brett,2015,.297,4.7,26.3,63.6,29.5,
Semien, Marcus,2015,.309,4.5,22.4,58.2,28.9,
Strange-Gordon, Dee,2015,.355,1.1,14.2,65.1,29.1,
Wong, Kolten,2015,.321,3.0,19.6,56.3,27.4,
Gregorius, Didi,2015,.317,1.6,22.7,63.3,28.4,
Trout, Mike,2015,.402,16.4,22.0,56.7,29.6,
Herrera, Odubel,2015,.341,3.2,25.5,62.9,27.8,
Harper, Bryce,2015,.460,12.9,27.0,54.7,27.7,
Abreu, Jose,2015,.347,9.3,24.9,57.8,25.7,
Polanco, Gregory,2015,.319,4.4,20.0,57.4,28.5,
Arenado, Nolan,2015,.323,8.3,21.1,60.3,26.1,
Holt, Brock,2015,.346,0.6,15.2,62.5,28.5,
Owings, Chris,2015,.261,2.6,26.1,66.8,28.6,
Pollock, AJ,2015,.367,5.7,16.9,63.7,29.0,
Seager, Kyle,2015,.328,7.0,17.7,58.5,26.0,
Taylor, Michael A.,2015,.282,6.3,33.7,65.0,28.7,
Carpenter, Matt,2015,.365,9.1,21.7,61.1,26.9,
Dozier, Brian,2015,.307,5.9,22.3,60.5,27.8,
Bryant, Kris,2015,.369,11.5,35.6,60.9,28.6,
Castellanos, Nick,2015,.303,7.7,29.7,64.4,26.5,
Machado, Manny,2015,.358,7.6,17.6,58.1,27.4,
Pederson, Joc,2015,.345,11.8,36.1,56.9,27.2,
Simmons, Andrelton,2015,.321,1.0,11.9,64.3,27.0,
Yelich, Christian,2015,.366,4.8,22.4,56.6,28.8,
Bogaerts, Xander,2015,.353,2.5,20.3,62.4,28.3,
Calhoun, Kole,2015,.308,6.8,28.0,64.6,26.5,
Eaton, Adam,2015,.358,3.1,18.7,58.6,28.9,
Gattis, Evan,2015,.285,7.1,25.0,60.4,27.4,
Kiermaier, Kevin,2015,.297,2.4,21.2,64.7,29.7,
Betts, Mookie,2015,.339,5.7,14.7,61.5,28.7,
Peterson, Jace,2015,.310,3.3,22.9,59.3,28.5,
Pillar, Kevin,2015,.312,1.8,18.3,65.1,28.7,
Russell, Addison,2015,.306,4.9,31.1,61.4,28.0,
Duffy, Matt,2015,.333,4.0,18.1,64.4,28.3,
Ortiz, David,2016,.401,15.5,19.3,52.0,23.6,
Beltre, Adrian,2016,.358,8.5,15.2,60.3,25.9,
Beltran, Carlos,2016,.337,6.8,19.6,58.5,25.7,
Werth, Jayson,2016,.335,7.4,20.9,56.8,25.8,
