last_name, first_name,year,on_base_percent,barrel_batted_rate,hard_hit_percent,whiff_percent,f_strike_percent,
Ramirez, Alexei,2016,.277,0.5,23.9,16.6,63.6,
Davis, Khris,2016,.307,17.0,48.2,33.9,63.9,
Martinez, J.D.,2016,.373,14.2,47.2,29.3,61.5,
Valencia, Danny,2016,.346,7.8,41.1,28.2,59.2,
Murphy, Daniel,2016,.390,8.5,41.5,12.0,56.0,
Goldschmidt, Paul,2016,.410,7.8,42.6,22.9,56.9,
Gonzalez, Marwin,2016,.290,5.4,35.9,25.8,64.3,
Altuve, Jose,2016,.395,6.9,36.4,15.4,61.2,
Hernandez, Cesar,2016,.368,1.8,29.2,20.3,58.8,
Segura, Jean,2016,.366,5.9,33.8,17.1,59.7,
Castro, Starlin,2016,.300,5.4,34.2,23.3,63.1,
Marte, Starling,2016,.361,5.4,37.0,25.7,60.5,
Donaldson, Josh,2016,.403,12.5,49.5,24.1,57.0,
Freeman, Freddie,2016,.400,13.2,44.7,29.6,58.0,
Heyward, Jason,2016,.306,2.7,30.7,17.1,55.1,
LeMahieu, DJ,2016,.411,4.9,47.5,11.6,58.4,
Lucroy, Jonathan,2016,.355,7.4,35.0,19.5,57.0,
Moreland, Mitch,2016,.298,9.6,39.5,28.5,52.9,
Rizzo, Anthony,2016,.385,9.2,36.4,19.9,57.2,
Vogt, Stephen,2016,.305,5.1,26.8,17.3,59.2,
Galvis, Freddy,2016,.271,2.8,27.4,21.0,60.1,
Perez, Salvador,2016,.288,6.3,37.8,23.4,66.8,
Forsythe, Logan,2016,.333,7.5,38.9,22.7,62.8,
Inciarte, Ender,2016,.348,0.7,15.0,11.1,60.2,
Ozuna, Marcell,2016,.321,7.8,42.2,26.6,63.2,
Villar, Jonathan,2016,.367,6.4,38.2,27.3,57.3,
Crawford, Brandon,2016,.342,5.6,34.7,26.6,56.3,
Harrison, Josh,2016,.308,2.1,23.2,20.1,66.1,
Hosmer, Eric,2016,.328,9.2,44.2,26.1,55.9,
Kipnis, Jason,2016,.340,6.7,39.5,19.7,55.2,
Miller, Brad,2016,.304,9.7,42.5,26.9,60.9,
Rendon, Anthony,2016,.348,5.9,41.5,17.0,62.4,
Semien, Marcus,2016,.300,6.7,35.3,23.7,57.0,
Shaw, Travis,2016,.306,8.0,34.2,24.4,57.4,
Springer, George,2016,.359,10.5,38.5,27.9,63.4,
Gregorius, Didi,2016,.302,2.9,25.5,18.6,61.8,
Trout, Mike,2016,.441,14.6,40.5,20.7,55.8,
Herrera, Odubel,2016,.360,4.2,30.9,24.0,58.8,
